indice_tiempo,produccion_automoviles,produccion_resto,produccion_utilitarios,produccion_categoria_b,exportaciones_automoviles,exportaciones_resto,exportaciones_utilitarios,exportaciones_categoria_b,ventas_mercado_interno_automoviles,ventas_mercado_interno_resto,ventas_mercado_interno_utilitarios,ventas_mercado_interno_categoria_b,ventas_mercado_interno_vehiculos_nacionales_automoviles,ventas_mercado_interno_vehiculos_nacionales_utilitarios,ventas_mercado_interno_vehiculos_nacionales_categoria_b,ventas_mercado_interno_vehiculos_nacionales_total,ventas_mercado_interno_vehiculos_importados_automoviles,ventas_mercado_interno_vehiculos_importados_utilitarios,ventas_mercado_interno_vehiculos_importados_categoria_b,ventas_mercado_interno_vehiculos_importados_total
1951-01-01,18.0,90.0,68.0,22.0,,,,,,,,,,,,,,,,
1952-01-01,62.0,907.0,54.0,853.0,,,,,,,,,,,,,,,,
1953-01-01,63.0,3011.0,1998.0,1013.0,,,,,,,,,,,,,,,,
1954-01-01,173.0,3186.0,2421.0,765.0,,,,,,,,,,,,,,,,
1955-01-01,235.0,6156.0,4180.0,1976.0,,,,,,,,,,,,,,,,
1956-01-01,326.0,5617.0,4869.0,748.0,,,,,,,,,,,,,,,,
1957-01-01,5461.0,10174.0,10166.0,8.0,,,,,,,,,,,,,,,,
1958-01-01,14310.0,13524.0,13465.0,59.0,,,,,,,,,,,,29691.0,,,,17729.0
1959-01-01,18290.0,14662.0,13506.0,1156.0,0.0,1.0,1.0,0.0,,,,,,,,32318.0,,,,7015.0
1960-01-01,40144.0,49194.0,31830.0,17364.0,0.0,1.0,1.0,0.0,,,,,,,,87722.0,,,,5107.0
1961-01-01,78274.0,57914.0,32555.0,25359.0,2.0,0.0,0.0,0.0,,,,,,,,134924.0,,,,4947.0
1962-01-01,90648.0,39232.0,23009.0,16223.0,8.0,0.0,0.0,0.0,,,,,,,,124439.0,,,,6032.0
1963-01-01,75338.0,29561.0,20160.0,9401.0,27.0,6.0,6.0,0.0,,,,,,,,106133.0,,,,1686.0
1964-01-01,114617.0,51866.0,36107.0,15759.0,61.0,25.0,25.0,0.0,,,,,,,,167452.0,,,,1286.0
1965-01-01,133734.0,60802.0,42471.0,18331.0,71.0,17.0,17.0,0.0,,,,,,,,190697.0,,,,1107.0
1966-01-01,133812.0,45641.0,31664.0,13977.0,21.0,14.0,13.0,1.0,,,,,,,,177339.0,,,,1516.0
1967-01-01,131038.0,44280.0,30893.0,13387.0,30.0,28.0,27.0,1.0,,,,,,,,177519.0,,,,1993.0
1968-01-01,129394.0,51582.0,35742.0,15840.0,35.0,41.0,41.0,0.0,,,,,,,,185343.0,,,,1085.0
1969-01-01,153885.0,64705.0,42597.0,22108.0,308.0,151.0,114.0,37.0,,,,,,,,211144.0,,,,1079.0
1970-01-01,168044.0,51555.0,33493.0,18062.0,618.0,231.0,159.0,72.0,,,,,,,,220746.0,,,,548.0
1971-01-01,193385.0,60255.0,40166.0,20089.0,1145.0,687.0,664.0,23.0,,,,,,,,253723.0,,,,641.0
1972-01-01,207623.0,70599.0,46298.0,24301.0,1676.0,,1817.0,,,,,,,,,261796.0,,,,400.0
1973-01-01,233660.0,77936.0,54171.0,23765.0,3304.0,,7910.0,,,,,,,,,285300.0,,,,218.0
1974-01-01,244636.0,77754.0,56085.0,21669.0,7157.0,,8276.0,,,,,,,,,271259.0,,,,240.0
1975-01-01,193557.0,57569.0,38798.0,18771.0,10396.0,,3345.0,,,,,,,,,226831.0,,,,456.0
1976-01-01,153648.0,53300.0,30972.0,22328.0,10599.0,,2843.0,,,,,,,,,177716.0,,,,299.0
1977-01-01,186313.0,70268.0,41668.0,28600.0,4263.0,,3750.0,,,,,,,,,212301.0,,,,338.0
1978-01-01,146724.0,47963.0,29517.0,18446.0,1060.0,,2928.0,,,,,,,,,190559.0,,,,458.0
1979-01-01,201673.0,64571.0,42249.0,22322.0,1668.0,,594.0,,,,,,,,,249669.0,,,,11279.0
1980-01-01,222690.0,66227.0,45025.0,21202.0,3438.0,,169.0,,,,,,,,,275058.0,,,,68361.0
1981-01-01,141670.0,33781.0,23394.0,10387.0,39.0,,246.0,,,,,,,,,178848.0,,,,60126.0
1982-01-01,107818.0,25517.0,16483.0,9034.0,2243.0,,991.0,,,,,,,,,131805.0,,,,5339.0
1983-01-01,130008.0,31003.0,22295.0,8708.0,4907.0,,295.0,,,,,,,,,150565.0,,,,1075.0
1984-01-01,139993.0,31007.0,18111.0,12896.0,2955.0,,1288.0,,,,,,,,,165059.0,,,,519.0
1985-01-01,116674.0,21277.0,10183.0,11094.0,16.0,,758.0,,,,,,,,,145524.0,,,,747.0
1986-01-01,140855.0,33911.0,19159.0,14752.0,99.0,,258.0,,,,,,,,,165575.0,,,,1049.0
1987-01-01,158743.0,34756.0,19877.0,14879.0,54.0,,406.0,,,,,,,,,190827.0,,,,1530.0
1988-01-01,135776.0,28494.0,16509.0,11985.0,991.0,,643.0,,,,,,,,,162517.0,,,,1379.0
1989-01-01,107597.0,20226.0,,,1144.0,,697.0,,,,,,,,,132921.0,,,,642.0
1990-01-01,81107.0,18532.0,,,575.0,,551.0,,,,,,,,,94787.0,,,,1173.0
1991-01-01,114113.0,24845.0,,,4277.0,928.0,757.0,171.0,,,,,,,,137175.0,,,,28631.0
1992-01-01,220502.0,41520.0,,,15213.0,1140.0,785.0,355.0,,,,,,,,243363.0,,,,105882.0
1993-01-01,286964.0,55380.0,44131.0,11249.0,22145.0,7831.0,6499.0,1332.0,,,,,,,,311213.0,,,,109637.0
1994-01-01,338355.0,70422.0,54853.0,15569.0,23739.0,14918.0,11002.0,3916.0,,,,,,,,360721.0,,,,147431.0
1995-01-01,226656.0,58779.0,47843.0,10936.0,22816.0,29930.0,24842.0,5088.0,,,,,,,,224961.0,,,,103021.0
1996-01-01,269439.0,43713.0,33303.0,10410.0,90142.0,18848.0,15765.0,3083.0,299203.0,76940.0,63556.0,13384.0,188043.0,19312.0,7788.0,215143.0,111160.0,44244.0,5596.0,161000.0
1997-01-01,366466.0,79840.0,58758.0,21082.0,163588.0,46798.0,35551.0,11247.0,321444.0,104882.0,87224.0,17658.0,198040.0,20281.0,9976.0,228297.0,123404.0,66943.0,7682.0,198029.0
